name num_pos num_neg frac_num_neg total weight_pos weight_neg frac_weighted_num_neg total_weight
randomnet5_15 2 2.00 0.5 4 0.58 1.20 0.67 1.78
randomnet5_16 1 2.00 0.6666666666666666 3 0.25 0.53 0.53 0.78
randomnet5_17 8 1.00 0.1111111111111111 9 4.00 1.00 0.20 5.00
randomnet5_18 2 2.00 0.5 4 1.33 0.75 0.36 2.08
randomnet5_19 1 2.00 0.6666666666666666 3 0.33 1.50 0.82 1.83
randomnet5_2 1 3.00 0.75 4 0.33 0.83 0.71 1.17
randomnet5_20 4 3.00 0.42857142857142855 7 2.00 1.53 0.43 3.53
randomnet5_21 4 2.00 0.3333333333333333 6 3.33 0.58 0.15 3.92
randomnet5_22 3 2.00 0.4 5 2.50 0.67 0.21 3.17
randomnet5_23 3 4.00 0.5714285714285714 7 1.67 1.83 0.52 3.50
randomnet5_24 3 2.00 0.4 5 1.83 1.50 0.45 3.33
randomnet5_25 3 3.00 0.5 6 1.58 1.70 0.52 3.28
randomnet5_26 7 3.00 0.3 10 3.83 1.03 0.21 4.87
randomnet5_27 3 2.00 0.4 5 1.25 0.58 0.32 1.83
randomnet5_28 2 3.00 0.6 5 1.00 1.08 0.52 2.08
randomnet5_29 1 2.00 0.6666666666666666 3 1.00 2.00 0.67 3.00
randomnet5_3 2 4.00 0.6666666666666666 6 1.50 1.42 0.49 2.92
randomnet5_30 2 5.00 0.7142857142857143 7 1.00 2.25 0.69 3.25
randomnet5_31 2 5.00 0.7142857142857143 7 0.67 2.75 0.80 3.42
randomnet5_32 5 2.00 0.2857142857142857 7 1.53 0.58 0.28 2.12
randomnet5_33 2 3.00 0.6 5 0.75 1.83 0.71 2.58
randomnet5_34 3 3.00 0.5 6 1.75 1.58 0.48 3.33
randomnet5_35 2 1.00 0.3333333333333333 3 2.00 0.33 0.14 2.33
randomnet5_36 5 4.00 0.4444444444444444 9 2.17 1.67 0.43 3.83
randomnet5_37 1 1.00 0.5 2 0.25 0.20 0.20 0.45
randomnet5_38 2 2.00 0.5 4 1.33 1.00 0.43 2.33
randomnet5_39 3 1.00 0.25 4 1.83 1.00 0.35 2.83
randomnet5_4 0 3.00 1.0 3 0.00 1.75 1.00 1.75
randomnet5_40 2 4.00 0.6666666666666666 6 1.50 1.92 0.56 3.42
randomnet5_41 4 0.00 0.0 4 2.33 0.00 0.00 2.33
randomnet5_42 1 2.00 0.6666666666666666 3 0.50 1.33 0.73 1.83
randomnet5_43 0 0.00 0.0 0 0.00 0.00 0.00 0.00
randomnet5_44 5 4.00 0.4444444444444444 9 2.28 1.83 0.45 4.12
randomnet5_45 1 2.00 0.6666666666666666 3 1.00 0.83 0.45 1.83
randomnet5_46 3 3.00 0.5 6 2.33 1.75 0.43 4.08
randomnet5_47 3 6.00 0.6666666666666666 9 1.25 2.08 0.62 3.33
randomnet5_48 2 3.00 0.6 5 0.83 1.08 0.57 1.92
randomnet5_49 1 4.00 0.8 5 1.00 3.00 0.75 4.00
randomnet5_5 4 2.00 0.3333333333333333 6 2.33 1.33 0.36 3.67
randomnet5_50 5 4.00 0.4444444444444444 9 1.70 1.33 0.44 3.03
randomnet5_51 4 2.00 0.3333333333333333 6 2.08 0.67 0.24 2.75
randomnet5_52 3 1.00 0.25 4 1.08 1.00 0.48 2.08
randomnet5_53 0 1.00 1.0 1 0.00 1.00 1.00 1.00
randomnet5_54 2 3.00 0.6 5 1.33 2.50 0.65 3.83
randomnet5_55 1 3.00 0.75 4 1.00 0.95 0.49 1.95
randomnet5_56 3 0.00 0.0 3 1.83 0.00 0.00 1.83
randomnet5_57 3 0.00 0.0 3 1.83 0.00 0.00 1.83
randomnet5_58 4 1.00 0.2 5 2.83 1.00 0.26 3.83
randomnet5_59 5 5.00 0.5 10 1.92 2.65 0.58 4.57
randomnet5_6 7 3.00 0.3 10 3.92 1.08 0.22 5.00
randomnet5_60 5 1.00 0.16666666666666666 6 1.67 1.00 0.38 2.67
randomnet5_61 1 1.00 0.5 2 1.00 1.00 0.50 2.00
randomnet5_62 3 0.00 0.0 3 0.78 0.00 0.00 0.78
randomnet5_63 3 1.00 0.25 4 1.08 1.00 0.48 2.08
randomnet5_64 3 0.00 0.0 3 1.17 0.00 0.00 1.17
randomnet5_65 1 1.00 0.5 2 1.00 0.50 0.33 1.50
randomnet5_66 3 2.00 0.4 5 1.33 2.00 0.60 3.33
randomnet5_67 1 3.00 0.75 4 1.00 1.58 0.61 2.58
randomnet5_68 2 1.00 0.3333333333333333 3 1.50 1.00 0.40 2.50
randomnet5_69 3 4.00 0.5714285714285714 7 1.75 2.17 0.55 3.92
randomnet5_7 2 3.00 0.6 5 0.83 1.08 0.57 1.92
randomnet5_70 4 5.00 0.5555555555555556 9 1.17 2.28 0.66 3.45
randomnet5_71 2 2.00 0.5 4 2.00 0.58 0.23 2.58
randomnet5_72 1 4.00 0.8 5 0.25 2.83 0.92 3.08
randomnet5_73 4 3.00 0.42857142857142855 7 1.37 2.00 0.59 3.37
randomnet5_74 2 2.00 0.5 4 1.50 0.67 0.31 2.17
randomnet5_75 4 3.00 0.42857142857142855 7 2.08 1.83 0.47 3.92
randomnet5_76 1 4.00 0.8 5 1.00 1.28 0.56 2.28
randomnet5_77 1 0.00 0.0 1 1.00 0.00 0.00 1.00
randomnet5_78 6 3.00 0.3333333333333333 9 2.40 1.33 0.36 3.73
randomnet5_79 0 5.00 1.0 5 0.00 4.50 1.00 4.50
randomnet5_8 6 6.00 0.5 12 2.37 2.92 0.55 5.28
randomnet5_80 3 1.00 0.25 4 3.00 1.00 0.25 4.00
randomnet5_81 1 2.00 0.6666666666666666 3 0.50 0.83 0.62 1.33
randomnet5_82 2 0.00 0.0 2 0.58 0.00 0.00 0.58
randomnet5_83 1 0.00 0.0 1 1.00 0.00 0.00 1.00
randomnet5_84 3 3.00 0.5 6 2.25 1.83 0.45 4.08
randomnet5_85 2 0.00 0.0 2 1.50 0.00 0.00 1.50
randomnet5_86 0 2.00 1.0 2 0.00 1.33 1.00 1.33
randomnet5_87 3 2.00 0.4 5 1.83 2.00 0.52 3.83
randomnet5_88 3 3.00 0.5 6 1.33 1.08 0.45 2.42
randomnet5_89 4 3.00 0.42857142857142855 7 1.95 1.58 0.45 3.53
randomnet5_9 2 3.00 0.6 5 0.83 1.58 0.66 2.42
randomnet5_90 1 4.00 0.8 5 0.50 2.25 0.82 2.75
randomnet5_91 3 1.00 0.25 4 1.00 0.50 0.33 1.50
randomnet5_92 0 1.00 1.0 1 0.00 0.50 0.50 0.50
randomnet5_93 4 1.00 0.2 5 2.33 1.00 0.30 3.33
randomnet5_94 3 1.00 0.25 4 1.17 0.33 0.22 1.50
randomnet5_95 2 2.00 0.5 4 1.50 1.33 0.47 2.83
randomnet5_96 3 2.00 0.4 5 3.00 1.33 0.31 4.33
randomnet5_97 3 3.00 0.5 6 1.33 1.83 0.58 3.17
randomnet5_98 1 0.00 0.0 1 0.33 0.00 0.00 0.33
randomnet5_99 7 1.00 0.125 8 2.50 1.00 0.29 3.50
randomnet6_1 0 3.00 1.0 3 0.00 2.00 1.00 2.00
randomnet6_10 3 3.00 0.5 6 1.58 1.83 0.54 3.42
randomnet6_100 5 6.00 0.5454545454545454 11 2.53 1.92 0.43 4.45
randomnet6_11 8 4.00 0.3333333333333333 12 2.95 2.03 0.41 4.98
randomnet6_12 2 3.00 0.6 5 0.83 2.00 0.71 2.83
randomnet6_13 2 1.00 0.3333333333333333 3 0.75 0.50 0.40 1.25
randomnet6_14 2 2.00 0.5 4 1.50 1.33 0.47 2.83
randomnet6_15 2 4.00 0.6666666666666666 6 0.67 1.37 0.67 2.03
randomnet6_16 5 4.00 0.4444444444444444 9 1.53 2.67 0.63 4.20
randomnet6_17 1 0.00 0.0 1 0.25 0.00 0.00 0.25
randomnet6_18 4 5.00 0.5555555555555556 9 1.28 2.70 0.68 3.98
randomnet6_19 4 3.00 0.42857142857142855 7 1.33 1.17 0.47 2.50
randomnet6_2 3 4.00 0.5714285714285714 7 2.00 1.73 0.46 3.73
randomnet6_20 4 2.00 0.3333333333333333 6 2.08 1.33 0.39 3.42
randomnet6_21 1 9.00 0.9 10 1.00 4.62 0.82 5.62
randomnet6_22 3 1.00 0.25 4 1.83 0.50 0.21 2.33
randomnet6_23 0 4.00 1.0 4 0.00 2.83 1.00 2.83
randomnet6_24 3 3.00 0.5 6 2.00 2.50 0.56 4.50
randomnet6_25 7 6.00 0.46153846153846156 13 2.48 2.33 0.48 4.82
randomnet6_26 6 4.00 0.4 10 2.70 2.00 0.43 4.70
randomnet6_27 8 3.00 0.2727272727272727 11 4.40 0.92 0.17 5.32
randomnet6_28 2 5.00 0.7142857142857143 7 1.33 2.20 0.62 3.53
randomnet6_29 2 5.00 0.7142857142857143 7 0.83 1.45 0.64 2.28
randomnet6_3 10 7.00 0.4117647058823529 17 3.32 2.07 0.38 5.38
randomnet6_30 7 10.00 0.5882352941176471 17 2.20 4.17 0.65 6.37
randomnet6_31 10 7.00 0.4117647058823529 17 3.32 2.83 0.46 6.15
randomnet6_32 4 1.00 0.2 5 2.58 1.00 0.28 3.58
randomnet6_33 1 3.00 0.75 4 0.50 1.58 0.76 2.08
randomnet6_34 3 3.00 0.5 6 0.78 1.58 0.67 2.37
randomnet6_35 1 3.00 0.75 4 0.33 1.33 0.80 1.67
randomnet6_36 5 5.00 0.5 10 1.53 3.20 0.68 4.73
randomnet6_37 0 4.00 1.0 4 0.00 2.33 1.00 2.33
randomnet6_38 5 3.00 0.375 8 1.62 1.75 0.52 3.37
randomnet6_39 2 1.00 0.3333333333333333 3 0.83 0.50 0.38 1.33
randomnet6_4 2 4.00 0.6666666666666666 6 0.83 2.08 0.71 2.92
randomnet6_40 6 6.00 0.5 12 2.33 1.95 0.46 4.28
randomnet6_41 2 3.00 0.6 5 1.50 2.33 0.61 3.83
randomnet6_42 8 7.00 0.4666666666666667 15 4.17 2.95 0.41 7.12
randomnet6_43 5 6.00 0.5454545454545454 11 2.00 2.95 0.60 4.95
randomnet6_44 7 10.00 0.5882352941176471 17 2.10 4.42 0.68 6.52
randomnet6_45 4 7.00 0.6363636363636364 11 2.67 2.57 0.49 5.23
randomnet6_46 2 3.00 0.6 5 1.33 1.25 0.48 2.58
randomnet6_47 7 6.00 0.46153846153846156 13 2.37 3.42 0.59 5.78
randomnet6_48 7 4.00 0.36363636363636365 11 3.45 1.92 0.36 5.37
randomnet6_49 2 1.00 0.3333333333333333 3 0.67 0.25 0.25 0.92
randomnet6_5 3 8.00 0.7272727272727273 11 1.25 4.12 0.77 5.37
randomnet6_50 4 7.00 0.6363636363636364 11 1.45 2.83 0.66 4.28
randomnet6_51 2 1.00 0.3333333333333333 3 1.50 0.50 0.25 2.00
randomnet6_52 2 2.00 0.5 4 1.20 0.50 0.29 1.70
randomnet6_53 7 1.00 0.125 8 3.42 0.50 0.13 3.92
randomnet6_54 2 0.00 0.0 2 1.50 0.00 0.00 1.50
randomnet6_55 7 10.00 0.5882352941176471 17 1.98 3.40 0.63 5.38
randomnet6_56 4 1.00 0.2 5 2.83 1.00 0.26 3.83
randomnet6_57 0 2.00 1.0 2 0.00 2.00 1.00 2.00
randomnet6_58 2 5.00 0.7142857142857143 7 0.58 2.12 0.78 2.70
randomnet6_59 4 2.00 0.3333333333333333 6 2.17 0.75 0.26 2.92
randomnet6_6 3 1.00 0.25 4 1.58 1.00 0.39 2.58
randomnet6_60 4 2.00 0.3333333333333333 6 1.42 1.50 0.51 2.92
randomnet6_61 6 7.00 0.5384615384615384 13 2.50 2.87 0.53 5.37
randomnet6_62 5 3.00 0.375 8 2.28 1.08 0.32 3.37
randomnet6_63 13 7.00 0.35 20 5.02 2.58 0.34 7.60
randomnet6_64 5 2.00 0.2857142857142857 7 3.20 0.58 0.15 3.78
randomnet6_65 8 14.00 0.6363636363636364 22 2.18 4.68 0.68 6.87
randomnet6_66 3 5.00 0.625 8 0.75 3.50 0.82 4.25
randomnet6_67 4 11.00 0.7333333333333333 15 1.17 4.23 0.78 5.40
randomnet6_68 4 5.00 0.5555555555555556 9 1.12 2.23 0.67 3.35
randomnet6_69 4 1.00 0.2 5 2.50 1.00 0.29 3.50
randomnet6_7 5 8.00 0.6153846153846154 13 2.17 2.73 0.56 4.90
randomnet6_70 6 6.00 0.5 12 2.33 2.48 0.52 4.82
randomnet6_71 7 6.00 0.46153846153846156 13 2.48 2.28 0.48 4.77
randomnet6_72 5 4.00 0.4444444444444444 9 1.70 1.08 0.39 2.78
randomnet6_73 4 6.00 0.6 10 0.98 2.50 0.72 3.48
randomnet6_74 8 5.00 0.38461538461538464 13 3.25 2.25 0.41 5.50
randomnet6_75 8 4.00 0.3333333333333333 12 3.28 1.12 0.25 4.40
randomnet6_76 9 6.00 0.4 15 4.33 1.90 0.30 6.23
randomnet6_77 5 6.00 0.5454545454545454 11 2.33 1.73 0.43 4.07
randomnet6_78 2 2.00 0.5 4 1.50 1.00 0.40 2.50
randomnet6_79 3 3.00 0.5 6 1.25 2.00 0.62 3.25
randomnet6_8 1 4.00 0.8 5 0.33 2.58 0.89 2.92
randomnet6_80 3 6.00 0.6666666666666666 9 1.83 2.67 0.59 4.50
randomnet6_81 10 6.00 0.375 16 4.20 2.87 0.41 7.07
randomnet6_82 4 2.00 0.3333333333333333 6 3.50 0.83 0.19 4.33
randomnet6_83 1 5.00 0.8333333333333334 6 0.33 4.50 0.93 4.83
randomnet6_84 3 0.00 0.0 3 2.00 0.00 0.00 2.00
randomnet6_85 1 7.00 0.875 8 0.33 4.50 0.93 4.83
randomnet6_86 0 0.00 0.0 0 0.00 0.00 0.00 0.00
randomnet6_87 3 3.00 0.5 6 0.83 0.87 0.51 1.70
randomnet6_88 1 2.00 0.6666666666666666 3 1.00 0.83 0.45 1.83
randomnet6_89 3 2.00 0.4 5 1.08 1.33 0.55 2.42
randomnet6_9 7 10.00 0.5882352941176471 17 3.50 4.27 0.55 7.77
randomnet6_90 5 2.00 0.2857142857142857 7 2.92 0.83 0.22 3.75
randomnet6_91 2 1.00 0.3333333333333333 3 0.58 1.00 0.63 1.58
randomnet6_92 9 3.00 0.25 12 3.75 1.53 0.29 5.28
randomnet6_93 6 3.00 0.3333333333333333 9 2.03 2.00 0.50 4.03
randomnet6_94 0 1.00 1.0 1 0.00 0.50 0.50 0.50
randomnet6_95 2 2.00 0.5 4 1.50 1.00 0.40 2.50
randomnet6_96 7 6.00 0.46153846153846156 13 2.87 1.95 0.40 4.82
randomnet6_97 1 4.00 0.8 5 1.00 1.70 0.63 2.70
randomnet6_98 7 6.00 0.46153846153846156 13 2.12 2.87 0.58 4.98
randomnet6_99 4 2.00 0.3333333333333333 6 2.83 1.25 0.31 4.08
randomnet7_1 13 12.00 0.48 25 4.68 4.05 0.46 8.73
randomnet7_10 18 21.00 0.5384615384615384 39 5.00 5.87 0.54 10.87
randomnet7_100 9 6.00 0.4 15 4.14 2.90 0.41 7.04
randomnet7_11 6 10.00 0.625 16 1.62 3.87 0.71 5.48
randomnet7_12 7 7.00 0.5 14 2.20 3.33 0.60 5.53
randomnet7_13 5 6.00 0.5454545454545454 11 2.42 3.20 0.57 5.62
randomnet7_14 5 7.00 0.5833333333333334 12 1.53 3.42 0.69 4.95
randomnet7_15 1 1.00 0.5 2 0.50 0.33 0.33 0.83
randomnet7_16 6 3.00 0.3333333333333333 9 4.08 1.25 0.23 5.33
randomnet7_17 4 3.00 0.42857142857142855 7 2.75 1.67 0.38 4.42
randomnet7_18 3 3.00 0.5 6 1.83 2.50 0.58 4.33
randomnet7_19 6 6.00 0.5 12 2.03 2.25 0.53 4.28
randomnet7_2 4 7.00 0.6363636363636364 11 1.87 2.37 0.56 4.23
randomnet7_20 16 18.00 0.5294117647058824 34 5.00 5.10 0.50 10.10
randomnet7_21 3 4.00 0.5714285714285714 7 1.17 1.90 0.62 3.07
randomnet7_22 7 8.00 0.5333333333333333 15 3.28 3.17 0.49 6.45
randomnet7_23 31 27.00 0.46551724137931033 58 7.66 6.52 0.46 14.18
randomnet7_24 8 7.00 0.4666666666666667 15 1.88 2.00 0.52 3.88
randomnet7_25 26 31.00 0.543859649122807 57 7.50 8.18 0.52 15.68
randomnet7_26 5 4.00 0.4444444444444444 9 1.75 1.65 0.49 3.40
randomnet7_27 1 4.00 0.8 5 0.20 2.08 0.91 2.28
randomnet7_28 9 11.00 0.55 20 2.68 4.29 0.62 6.98
randomnet7_29 5 2.00 0.2857142857142857 7 2.25 2.00 0.47 4.25
randomnet7_3 1 3.00 0.75 4 0.50 1.83 0.79 2.33
randomnet7_30 8 11.00 0.5789473684210527 19 2.02 4.70 0.70 6.72
randomnet7_31 22 15.00 0.40540540540540543 37 8.00 5.11 0.39 13.11
randomnet7_32 4 8.00 0.6666666666666666 12 2.25 3.58 0.61 5.83
randomnet7_33 15 10.00 0.4 25 3.61 3.70 0.51 7.31
randomnet7_34 8 6.00 0.42857142857142855 14 2.73 2.20 0.45 4.93
randomnet7_35 3 6.00 0.6666666666666666 9 0.87 2.32 0.73 3.18
randomnet7_36 4 8.00 0.6666666666666666 12 1.18 3.12 0.73 4.29
randomnet7_37 17 12.00 0.41379310344827586 29 6.80 3.32 0.33 10.12
randomnet7_38 8 3.00 0.2727272727272727 11 2.87 0.70 0.20 3.57
randomnet7_39 6 10.00 0.625 16 2.25 5.27 0.70 7.52
randomnet7_4 7 8.00 0.5333333333333333 15 1.68 3.92 0.70 5.60
randomnet7_40 5 7.00 0.5833333333333334 12 2.95 2.57 0.47 5.52
randomnet7_41 17 21.00 0.5526315789473685 38 4.69 6.39 0.58 11.08
randomnet7_42 6 6.00 0.5 12 1.65 2.15 0.57 3.80
randomnet7_43 1 12.00 0.9230769230769231 13 0.50 5.03 0.91 5.53
randomnet7_44 4 10.00 0.7142857142857143 14 2.08 3.90 0.65 5.98
randomnet7_45 15 29.00 0.6590909090909091 44 2.97 7.25 0.71 10.22
randomnet7_46 12 12.00 0.5 24 3.48 4.48 0.56 7.96
randomnet7_47 6 9.00 0.6 15 2.98 4.45 0.60 7.43
randomnet7_48 11 10.00 0.47619047619047616 21 3.83 2.87 0.43 6.69
randomnet7_49 16 16.00 0.5 32 4.67 4.98 0.52 9.65
randomnet7_5 6 7.00 0.5384615384615384 13 2.50 3.12 0.55 5.62
randomnet7_50 17 16.00 0.48484848484848486 33 4.07 3.65 0.47 7.72
randomnet7_51 7 6.00 0.46153846153846156 13 2.03 1.62 0.44 3.65
randomnet7_52 0 3.00 1.0 3 0.00 1.83 1.00 1.83
randomnet7_53 1 2.00 0.6666666666666666 3 0.50 1.50 0.75 2.00
randomnet7_54 8 13.00 0.6190476190476191 21 2.48 5.59 0.69 8.08
